"Geo Code","Geo Name","Line Number"
"2021A00053532012","South-West Oxford",434117
"2021A00053532018","Ingersoll",436748
"2021A00053532027","Zorra",439379
"2021A00053532038","East Zorra-Tavistock",442010
"2021A00053532042","Woodstock",444641
"2021A00053532045","Blandford-Blenheim",447272
"2021A00053534005","Bayham",449903
"2021A00053534010","Malahide",452534
"2021A00053534011","Aylmer",455165
"2021A00053534020","Central Elgin",457796
"2021A00053534021","St. Thomas",460427
"2021A00053534024","Southwold",463058
"2021A00053534030","Dutton/Dunwich",465689
"2021A00053534042","West Elgin",468320
"2021A00053536020","Chatham-Kent",470951
"2021A00053536029","Moravian 47",473582
"2021A00053537001","Pelee",476213
"2021A00053537003","Leamington",478844
"2021A00053537013","Kingsville",481475
"2021A00053537016","Essex",484106
"2021A00053537028","Amherstburg",486737
"2021A00053537034","LaSalle",489368
"2021A00053537039","Windsor",491999
"2021A00053537048","Tecumseh",494630
"2021A00053537064","Lakeshore",497261
"2021A00053538003","St. Clair",499892
"2021A00053538004","Walpole Island 46",502523
"2021A00053538007","Dawn-Euphemia",505154
"2021A00053538015","Brooke-Alvinston",507785
"2021A00053538016","Enniskillen",510416
"2021A00053538018","Oil Springs",513047
"2021A00053538019","Petrolia",515678
"2021A00053538025","Sarnia 45",518309
"2021A00053538030","Sarnia",520940
"2021A00053538031","Point Edward",523571
"2021A00053538035","Plympton-Wyoming",526202
"2021A00053538040","Lambton Shores",528833
"2021A00053538043","Warwick",531464
"2021A00053538056","Kettle Point 44",534095
"2021A00053539002","Newbury",536726
"2021A00053539005","Southwest Middlesex",539357
"2021A00053539015","Strathroy-Caradoc",541988
"2021A00053539017","Chippewas of the Thames First Nation 42",544619
"2021A00053539018","Munsee-Delaware Nation 1",547250
"2021A00053539021","Oneida 41",549881
"2021A00053539027","Thames Centre",552512
"2021A00053539033","Middlesex Centre",555143
"2021A00053539036","London",557774
"2021A00053539041","North Middlesex",560405
"2021A00053539047","Adelaide-Metcalfe",563036
"2021A00053539060","Lucan Biddulph",565667
"2021A00053540005","South Huron",568298
"2021A00053540010","Bluewater",570929
"2021A00053540025","Central Huron",573560
"2021A00053540028","Goderich",576191
"2021A00053540040","Huron East",578822
"2021A00053540046","Howick",581453
"2021A00053540050","Morris-Turnberry",584084
"2021A00053540055","North Huron",586715
"2021A00053540063","Ashfield-Colborne-Wawanosh",589346
"2021A00053541004","South Bruce",591977
"2021A00053541015","Huron-Kinloss",594608
"2021A00053541024","Kincardine",597239
"2021A00053541032","Brockton",599870
"2021A00053541043","Arran-Elderslie",602501
"2021A00053541045","Saugeen Shores",605132
"2021A00053541055","South Bruce Peninsula",607763
"2021A00053541056","Chief's Point No. 28",610394
"2021A00053541057","Saugeen 29",613025
"2021A00053541060","Neyaashiinigmiing 27",615656
"2021A00053541069","Northern Bruce Peninsula",618287
"2021A00053542004","West Grey",620918
"2021A00053542005","Southgate",623549
"2021A00053542015","Grey Highlands",626180
"2021A00053542029","Hanover",628811
"2021A00053542037","Chatsworth",631442
"2021A00053542045","The Blue Mountains",634073
"2021A00053542047","Meaford",636704
"2021A00053542053","Georgian Bluffs",639335
"2021A00053542059","Owen Sound",641966
"2021A00053543003","Adjala-Tosorontio",644597
"2021A00053543005","Clearview",647228
"2021A00053543007","New Tecumseth",649859
"2021A00053543009","Springwater",652490
"2021A00053543014","Bradford West Gwillimbury",655121
"2021A00053543015","Severn",657752
"2021A00053543017","Innisfil",660383
"2021A00053543019","Ramara",663014
"2021A00053543021","Essa",665645
"2021A00053543023","Oro-Medonte",668276
"2021A00053543031","Collingwood",670907
"2021A00053543042","Barrie",673538
"2021A00053543050","Chippewas of Rama First Nation",676169
"2021A00053543052","Orillia",678800
"2021A00053543064","Wasaga Beach",681431
"2021A00053543068","Tiny",684062
"2021A00053543069","Christian Island 30",686693
"2021A00053543070","Christian Island 30A",689324
"2021A00053543071","Tay",691955
"2021A00053543072","Penetanguishene",694586
"2021A00053543074","Midland",697217
"2021A00053544002","Gravenhurst",699848
"2021A00053544018","Bracebridge",702479
"2021A00053544027","Lake of Bays",705110
"2021A00053544042","Huntsville",707741
"2021A00053544053","Muskoka Lakes",710372
"2021A00053544065","Georgian Bay",713003
"2021A00053544071","Wahta Mohawk Territory",715634
"2021A00053544073","Moose Point 79",718265
"2021A00053546005","Highlands East",720896
"2021A00053546015","Minden Hills",723527
"2021A00053546018","Algonquin Highlands",726158
"2021A00053546024","Dysart et al",728789
"2021A00053547002","Arnprior",731420
"2021A00053547003","McNab/Braeside",734051
"2021A00053547008","Greater Madawaska",736682
"2021A00053547020","Brudenell, Lyndoch and Raglan",739313
"2021A00053547030","Madawaska Valley",741944
"2021A00053547033","Killaloe, Hagarty and Richards",744575
"2021A00053547035","Bonnechere Valley",747206
"2021A00053547037","Pikwakanagan (Golden Lake 39)",749837
"2021A00053547043","Admaston/Bromley",752468
"2021A00053547046","Horton",755099
"2021A00053547048","Renfrew",757730
"2021A00053547056","Whitewater Region",760361
"2021A00053547064","Pembroke",762992
"2021A00053547070","North Algona Wilberforce",765623
"2021A00053547075","Laurentian Valley",768254
"2021A00053547076","Petawawa",770885
"2021A00053547090","Laurentian Hills",773516
"2021A00053547096","Deep River",776147
"2021A00053547098","Head, Clara and Maria",778778
